,Eg (eV),Comp
1156,1.25,In0.6As0.6Ga0.4P0.4
1157,1.52,Ga0.5As0.5Zn0.5Se0.5
1158,0.8,Na2CsSb
1160,1.87,ZnIn2Te4
1163,1.4,OsPS
1164,2.15,CuGa1.6In0.4S3.5
1165,1.82,Cu3SmS3
1166,1.1,ZnGeAs2
1167,0.17,InSb0.01As0.99
1168,4.18,Gd2Mo3O12
1170,1.55,Ba2BiInS5
1171,2.54,BiFeSe3O9
1172,0.96,Cu2CdSnSe4
1173,2.9,Li3ScN2
1174,1.21,InBi2Se4Br
1176,0.3,Pb0.999TeIn0.001
1177,1.38,CuSbS2
1179,2.8,LiMoIO6
1181,0.35,Pb0.8Ge0.2Se
1183,2.56,Cs2Hg3I8
1184,2.22,Ba2InSmSe5
1185,1.87,SbSeBr
1186,6.89,K2Al2B2O7
1190,2.8,Zn0.9S0.9Ga0.1P0.1
1193,2.3,CsHgInS3
1194,2.24,Ge0.542Si0.458
1196,1.95,HgGa2Se4
1197,3.26,Sr3Ti2O7
1198,0.25,RuTe2
1200,1.3,CuInGeSe4
1201,0.3,GeTe2
1202,2.96,Zn3V2TeO10
1204,2.11,K2Hg3S1.03Se2.97
1207,0.18,YNiSb
1211,1.53,RbMn4Ga5Te12
1212,1.66,Cs2Hg5.75Cd0.25S7
1213,4.0,NiO
1214,6.4,CsI
1215,4.64,Se2B2O7
1217,1.85,SiTe2
1218,1.6,Cs2PdP2Se6
1219,0.7,Cu2SnSe3
1220,2.31,LaCuOTe
1221,1.3,BaSi2
1222,2.46,K2CeP2O8
1223,1.91,GaAs0.6P0.4
1224,2.32,Li2HgSnS4
1225,8.5,NaCl
1227,0.34,Pb0.95Ge0.05Te
1231,2.6,BSb
1232,1.4,CrO3
1233,1.07,CsBiSe2
1234,2.2,Mg3As2
1235,1.63,CsCu2SbS3
1238,0.68,Bi2Cu0.96Se3I
1239,1.68,CdS0.01Se0.99
1242,2.0,Rb4Ag9Sb4S12
1243,1.5,AgIn9Te14
1244,1.9,Ba2SnSe4
1246,3.46,BiOCl
1248,0.42,TiNiSb
1250,1.99,Cu0.01Ga1.99Se2.99
1251,1.24,Cu0.5In1.5Se2.5
1252,0.64,Na8Al8Si38
1254,2.6,Cu0.3Ga1.7S2.7
1255,0.5,Ge2Sb2Te5
1256,4.39,CsPbPO4
1257,4.9,KH3Se2O6
1258,0.45,PdPAs
1259,3.26,K2Sm2Ti3O10
1260,2.6,Sn2WO5
1261,0.19,Pb0.95Se0.95Sn0.05Se0.05
1262,4.4,Ga2O3
1263,1.62,SnSe2
1265,1.2,RbBiS2
1266,4.9,NdB6
1267,2.0,GaAs0.5P0.5
1268,1.61,CsZn4In5Te12
1269,0.3,NiP2
1271,2.52,Ba4AgGa5S12
1272,3.0,KInS2
1273,2.47,Ag2HgI4
1274,3.1,K10Zn4Sn4S17
1275,1.56,Gd1.87Lu2.13Se6
1276,2.06,Cs2SnP2Se6
1277,1.4,PdPS
1278,2.6,HgPS3
1280,0.2,CoTe1.88
1281,0.25,SrIr4In2Ge4
1282,3.76,NaSbF6
1283,1.02,CdIn8Te13
1284,0.52,Cu3GdTe3
1286,1.08,Cu0.99In1.01Se2.01
1287,1.9,In0.5Ga0.5P
1288,0.8,Ge0.9Si0.1
1290,1.65,TlGaSe2
1292,0.64,In4Se3
1295,2.35,NaGaGe3Se8
1296,3.7,Bi3F3I4O13
1299,0.16,Cu3HoSe3
1300,3.1,RbInGeS4
1302,2.8,AgF
1304,1.18,Cu2Ga4Te7
1305,2.3,Sm2Sc3
1309,1.35,WSe2
1310,2.43,Ba3B1.5S6Bi0.5
1311,2.6,Hg2Br2
1314,3.1,BaSnO3
1315,1.14,Cs8Ga8Si38
1316,6.53,Ca5B3O9F
1317,1.89,BiOI
1318,0.55,PrO
1322,1.89,Hg6As4CdBr6
1323,0.8,YB66
1324,3.3,Bi3Ge3O10.5
1325,0.23,CrO2
1326,0.28,Pb0.98Se0.98Bi0.04Te0.06
1328,2.32,V2O5
1329,3.6,GdB6
1330,2.77,La2S3
1332,1.97,Li4.5Mn0.5TeO6
1333,4.5,Rb2Te
1334,0.1,InSb0.4As0.6
1335,2.0,Ce3MoO7
1336,2.12,Pd3P2S8
1337,3.1,BaTiO3
1338,2.44,Cs2TiAg2S4
1340,2.34,Ga0.1As0.1Zn0.9Se0.9
1342,0.42,Ag0.4Cd0.2In2.4Te4
1344,2.88,Y3GaS6
1345,6.2,Sc2O3
1346,2.38,Y6ZnSi2S14
1347,1.4,Tl2Cu2SnS4
1348,4.28,Ba3MgTa2O9
1349,3.2,Na3ZnB5O10
1352,4.0,KNbSe2O7
1357,2.07,InS
1358,2.65,Nd2S3
1359,5.55,HfO2
1360,2.33,Rb2TiAg2S4
1362,2.61,La3InGe0.5S7
1363,2.31,Ba2InYSe5
1364,0.22,Pb0.8Se0.8Bi0.4Te0.6
1365,0.8,Pb6Sb6Se17
1366,2.21,Ba2GaBiSe5
1371,1.04,K2Cu2Sn2Se6
1372,3.0,ErN
1374,2.98,TlCuCl3
1375,0.96,Er2Mo3O12
1376,1.89,Ba4Ge3Se9Cl2
1377,0.07,CuPbBiSe3
1378,0.6,Eu3As2
1379,4.45,HgCl2
1380,5.77,SrO
1383,4.2,AgInO2
1384,2.15,BaPdSe6
1386,0.26,Cu3HoTe3
1389,1.77,K4Ba2Nb4S22
1390,0.59,SnSi
1391,0.11,CoSbS
1393,0.3,Pb0.999TeTl0.001
1394,0.8,Ge40.0Te5.3I8
1397,2.48,Cs2Cd3Te4
1398,1.31,PdI2O6
1399,2.62,Ba3BSbS6
1400,2.18,Ba2GaNdSe5
1402,1.72,K2CuGa3Se6
1404,0.35,NaBiSe2
1405,0.29,Bi2Te2.1Se0.9
1406,2.31,Ta0.67Zr1.33O1.38N1.97
1407,3.14,Cd8B5O15F
1409,1.9,Hg0.08Zn0.92Te
1410,1.74,TlHgInS3
1414,1.22,EuIn2Te4
1416,3.0,Tb2O3
1418,2.04,K2TiCu2S4
1419,2.14,KAu5PS8
1421,1.26,Tl4Ta2S11
1422,2.0,Er3SmSe6
1423,0.51,Pb0.6Ge0.4Te
1425,0.17,CrTe2
1428,2.86,Bi2O3
1429,1.59,Cu0.9Ga1.1Se2.1
1430,0.16,CuFeTe2
1431,6.15,NdF3
1432,0.22,Pb0.85Se0.85Sn0.15Se0.15
1433,0.7,Hg0.4Cd0.6Se
1434,0.8,AgAsTe2
1435,1.9,SbSi
1437,1.45,Hg4As2CdI4
1438,1.06,Cu0.9In1.1Se2.1
1439,1.02,Cs4BiAs3Se7
1440,2.0,SrMgSnSe4
1441,3.76,Pb2BO4H
1444,2.3,K2Sn3Sb2S10
1445,1.48,NaSbS2
1447,1.4,LiCa3As2H
1453,0.8,GeSn
1454,0.16,Bi1.6Te3Sb0.4
1455,1.54,GdN
1457,1.75,Lu2CrS4
1458,9.9,MnF2
1459,0.63,CuGa2Se4
1460,2.3,La8Sb2S15
1463,1.4,Ag5IO6
1464,1.95,UY4O3S5
1465,1.93,Ta0.67Zr1.33O0.42N2.61
1468,0.37,Tl2GeTe3
1470,4.0,Zn2LiGaO4
1471,3.97,BiIO3F2
1472,0.38,TlSbTe3
1473,3.01,Ba3B1.5S6Sb0.5
1474,5.31,GeSe2O6
1475,0.02,Pb0.87Sn0.13Se
1476,0.65,Cu3AsSe4
1478,0.2,Cd3Bi2
1479,0.8,RbBi3Se4Te
1480,1.0,DyAs
1481,3.1,Bi25TiO39
1482,2.14,Rb2TeBr6
1483,0.69,In2Se
1484,1.45,GeAs
1485,2.7,YVSeO10
1487,1.9,KCu4AsS4
1488,2.3,K2ZnSn3S8
1489,4.9,B2O3
1491,0.75,PdS2
1493,3.8,AgScO2
1499,1.1,AgGaTe2
1500,3.58,ScTiNbO6
1501,1.92,La3Sb0.33SiS7
1502,1.83,Cd4Sb2I3
1503,0.85,Ga2GeTe3
1504,0.16,Pb0.99Sn0.01Se
1505,1.1,GaAs0.15Sb0.85
1507,1.1,Cu0.7In1.3Se2.3
1509,0.74,Ga0.95Sb0.95Cd0.05Te0.05
1510,1.21,Cu0.3In1.7Se2.7
1511,1.92,Cu0.15Ga1.85Se2.85
1513,2.54,CsYHgSe3
1514,1.8,Pr2Se3
1516,3.76,Pb2N2SeO9
1518,1.8,Tl2BiP2S7
1519,0.98,SnS0.4Se0.6
1521,0.32,Pb0.999Se0.999Sn0.001Se0.001
1522,2.97,In2Se2O7
1523,6.81,NH6PO4
1526,2.4,NaInSnS4
1527,2.12,Cs2TeBr6
1528,2.1,K0.6Cs0.4PSe6
1529,1.0,Ca2Ge
1530,2.1,Ba2ZnTe3
1532,1.47,CuGaO2
1533,1.92,Ni2InVO6
1534,4.9,PrB6
1535,3.1,Rb2Mo3Se3O16
1537,3.3,RbInS2
1538,0.71,Ga1.001Sb0.999Se0.003
1539,3.54,BaGa4S7
1541,0.7,LiMgAs
1543,3.48,Ba2ZnV2O8
1545,3.74,Bi2SI2O11
1546,0.32,Pb0.99Ge0.01Te
1550,2.6,Rb2AgPS4
1551,0.48,BaCu2SnSe4
1552,3.85,BiPO4
1553,2.0,Na2Se
1555,1.0,La4FeSb2S10
1556,3.48,GdSb2BO8
1558,0.59,SiSn
1559,3.4,Ba2Ga8SiS16
1564,1.47,K2Cu2Sn2S6
1566,1.4,Zn0.8Hg0.2Se
1568,2.24,Ag2V2I4O16
1569,1.22,GaAs0.1P0.9
1571,1.72,NaNb2PS10
1573,4.1,Zn2MoTeO7
1575,2.67,ScTa2O5N
1578,0.39,Ag0.25Cd0.5In2.25Te4
1580,3.53,TbSb2BO8
1581,1.18,TlPrSe2
1582,1.6,BaGa2SnSe6
1587,0.84,Ag2SnSe3
1588,1.3,AgGaSe2
1590,0.1,InSb0.5As0.5
1591,1.64,B4C
1592,4.84,GdH2NO5
1593,0.85,Cu2GeSe3
1595,0.67,GaAs0.7Sb0.3
1599,0.8,PdO
1600,1.6,Tl2TeS3
1604,2.9,CaPr2S4
1605,0.35,Hg0.1Cd0.9Se
1608,2.38,Ba2BiGaS5
1610,3.25,Bi24VO41
1611,0.66,V2O4
1613,1.38,Pr1.29Lu0.71S3
1614,1.4,AgAsSe2
1619,0.74,Sr8.007Ge2.043Bi7.949Se24
1620,0.2,Zr3O
1621,1.85,In0.4As0.4Ga0.6P0.6
1622,1.01,TlCr5S8
1623,0.46,Cu3TbTe3
1624,2.57,Na2CdGe2S6
1625,2.78,La2Ga2GeS8
1627,0.49,La2MoO5
1628,4.94,Ba7B3O9F5
1631,0.94,Ge0.4Si0.6
1633,1.78,BaTaO2N
1636,1.32,Ge0.838Si0.162
1637,6.38,DyPO4
1638,1.23,HoIn3S6
1639,1.23,Ag2S
1641,1.72,Hg0.99Cd0.01Se
1642,0.3,PbTe0.99Se0.01
1643,0.1,GaBi
1645,2.32,CsInGeSe4
1647,0.46,RbNb4Br11
1650,0.26,PbSe0.95S0.05
1652,1.61,K3Ti2P5S18
1653,1.65,Ba3FeS4Br
1655,1.14,PrIn3S6
1656,0.88,SiAs2
1658,1.08,Eu3Sb4Se9
1659,4.2,MgGeN2
1660,2.76,Ca4Bi6O13
1661,3.03,PrCuOS
1662,2.64,Cu0.05Ga1.95S2.95
1663,2.12,H6PtI6O20
1667,1.65,Cu2WSe4
1668,0.3,SnTe
1669,2.54,Li2In2SiSe6
1670,1.67,In0.3P0.3Ga0.7As0.7
1671,2.2,GaAs0.2P0.8
1672,1.57,RbCd4In5Se12
1673,0.51,Sm3Te4
1674,0.22,YbSb4Te7
1675,6.89,CsLiB6O10
1677,3.3,Li6Mo6Se6O33
1678,2.4,Zn0.85S0.85Ga0.15P0.15
1679,2.34,K8Ce2I18O53
1680,3.1,Rb3Al3Ge7S20
1681,3.3,Ba3Er2P4S16
1682,1.86,Li2ZnGeSe4
1683,1.9,K2Te
1685,2.3,PbBiO2Br
1687,3.09,Bi12TiO20
1689,1.56,PrLuSe3
1690,4.2,BP
1691,1.82,KSb5S8
1692,0.68,Ga1.02Sb0.98Te0.06
1694,1.3,GdTe
1695,0.49,Pb0.59Ge0.41Te
1697,1.05,CuZn2InTe4
1698,4.13,Cs2Al2B2O7
1699,1.98,Ba8Hg4S5Se7
1701,0.24,Pb0.9Se0.9Sn0.1Se0.1
1703,3.4,La2O2ZnSe2
1704,0.23,AgFeSe2
1707,0.5,TlPSe2
1708,0.71,In0.97As0.97Cd0.03Te0.03
1713,2.2,K2Ag3Sb3S7
1716,0.14,Bi1.98Te3Sb0.02
1717,5.71,K2ReH9
1720,0.58,Eu3Se4
1721,0.65,Ge0.999Si0.001
1722,2.56,Hg2Cu3Te6O16
1723,0.71,Ag8SnSe6
1725,3.43,Bi2AsO4Cl
1726,1.5,Cs2TeI6
1727,1.98,Ag2GeS3
1728,0.9,ZnSnAs2
1729,3.78,Cd4YB3O10
1730,3.1,LiZnBO3
1733,1.0,TiTe2
1734,2.0,Pb2SbS2I3
1735,2.5,Cs3Bi2Br9
1736,1.71,La3Mg0.5SnS14
1739,0.12,TlBiTe2
1743,2.88,BaGa2SiSe6
1744,2.24,Ba2InGdSe5
1745,2.47,Cu3Ta7O19
1746,2.77,GaP
1749,2.58,K2CdP2Se6
1750,1.37,K1.83Cd1.83Bi2.17S6
1753,1.42,CsCd4In5Te12
1754,2.3,Ce4Ge3S12
1755,2.05,Tl2Hg3S4
1756,1.09,CuGa3Te5
1757,0.12,CuPbBiS3
1758,1.21,KBi3S5
1759,4.2,CsCaBO3
1760,0.28,Hg0.65Cd0.35Te
1761,1.8,TlGaTe2
1762,1.62,Cu3GdS3
1763,0.14,Cu3TmTe3
1764,3.35,LiBi3O4Cl2
1767,1.72,KSi2P3
1770,0.67,AgSbSe2
1771,1.45,La2YbCuS5
1772,1.6,In0.1P0.1Ga0.9As0.9
1775,0.55,Ga0.28In0.72As
1777,1.0,Ag7AsSe6
1778,2.32,Ag2CdGeS4
1780,2.7,AgLi0.33Ti0.67O2
1782,1.8,YbGa2Se4
1783,3.45,Ca2SmTaO6
1784,0.11,Pb0.8Sn0.2Te
1785,7.1,Ba4B11O20F
1787,2.8,In2O3
1790,3.56,Na2Nb4Se4O19
1792,0.28,Bi2Te1.2Se1.8
1793,6.53,Cs2B4SiO9
1794,3.16,Cs10Cd4Sn4S17
1797,2.8,Rb2Hg3Ge2S8
1798,1.4,Rb2TeI6
1800,0.88,GeSi
1801,2.17,Cs5P5Se12
1802,2.23,NaAsS2
1803,2.5,Ho2GeS5
1806,0.28,MnP4
1808,3.34,K10Zn4Ge4S17
1809,0.98,YbS
1810,1.2,Tl2Au2Sn2Se6
1811,1.7,Cs2Bi2Cd2S5
1812,4.27,LiInI4O12
1813,1.87,TeSe3
1814,1.59,Cr3Se4
1815,2.0,Ga0.65Al0.35As
1816,0.47,K2Bi8Se13
1817,2.71,Zn6S5Cl2
1820,7.8,CsCl
1822,0.79,Pb0.999Se0.999Bi0.002Te0.003
1824,3.64,Pb3B3O10N
1825,1.9,MnVTe2O8
1826,1.6,Cd0.99Te0.99Al0.01Sb0.01
1827,1.65,KTbSe4
1830,3.52,SrBiO2Cl
1832,1.07,Ho2Mo3O12
1833,2.59,K2SmP2S7
1839,1.57,Li0.2Na0.8AsSe2
1841,3.85,Ba5V3O12F
1843,1.1,NaCd4P3
1846,0.95,EuSb2Se4
1847,0.32,Pb0.93TeIn0.07
1848,3.3,ZnMoSb2O7
1849,1.76,AsSeI
1852,0.68,In0.94As0.94Cd0.06Te0.06
1853,1.4,TlN
1854,4.25,NaInI4O12
1856,3.6,AgAlO2
1857,10.3,KF
1858,0.27,PbSe0.9S0.1
1859,1.9,AgAlTe2
1860,2.32,Ba2AgInS4
1863,0.4,PtPAs
1864,2.4,Tl2CeP2S7
1865,1.6,LiPbSb3S6
1866,2.48,Cd2V2Te2O11
1869,2.55,SnGa4Se7
1870,5.42,Ho2O3
1872,1.66,Ba2GaSbTe5
1873,1.1,Hg0.7Cd0.3Se
1879,1.5,In0.9Al0.1P
1880,3.88,Na3Sn2F6Cl
1884,2.2,K5In3P6Se19
1885,2.38,SnI4
1886,3.4,H2Ti6O13
1887,2.27,Li2B12Si2
1888,1.8,PbSb2Se4
1889,0.5,PdS
1890,1.36,Cd0.9Te0.9Al0.1Sb0.1
1891,2.75,KAuI4O12
1893,3.37,Ba3Tb2P4S16
1894,2.25,KBiSiS4
1895,1.76,Ba4Si3Se9Cl2
1896,2.2,Al2Te3
1897,1.15,FeIn2Se4
1898,4.2,CsNbSe2O7
1899,0.77,FeSc2
1900,0.72,Ga0.99Sb0.99Cd0.01Te0.01
1901,1.35,Cs3Nb2AsSe11
1902,2.21,K3Ta2AsS11
1904,1.38,CuGaGeSe4
1905,1.21,Ba5Ga6SnP12
1906,1.22,DyIn3S6
1908,3.37,Pb4V2Se6O21
1909,2.25,EuGa2S4
1910,1.45,PbMnIn2S5
1912,4.85,PbCdP4O12
1913,0.15,Mg2Pb
1914,2.52,Na2CdSnS4
1915,6.19,LiCsCO3
1916,1.65,ThOSe
1921,0.8,Tl3CuNb2Se12
1922,4.83,YH2NO5
1923,1.4,Mg3P2
1924,0.42,Zn0.4Hg0.6Se
1926,1.94,Rb3Sb2I9
1927,2.12,In0.6Al0.4P
1928,2.09,Ba4Sb3S8Cl
1929,0.99,Li2CdGe
1930,2.07,ZnSiP2
1935,1.9,NaInS2
1936,1.45,Bi14.7In11.3S38
1939,2.63,Cs2CdP2Se6
1941,0.54,Pb0.93TeTl0.07
1942,3.26,ErBiW2O9
1945,2.64,LiGaGe2Se6
1946,0.45,Eu3In2P4
1947,0.63,GdAs
1948,3.0,CsGaS3
1949,1.33,AsNMg3
1950,2.29,Ba2InErSe5
1951,1.9,CsPSe6
1953,1.89,BiSCl
1954,0.35,Hg0.63Cd0.37Te
1955,2.23,CdS0.8Se0.2
1957,2.55,Gd2S3
1958,2.35,Na2TeS3
1959,1.2,AgPbBiS3
1960,2.48,Hg4As2ZrCl6
1961,3.71,BaBiO2Cl
1964,2.07,RbYbZnSe3
1968,1.6,NaInTe2
1969,0.25,FePS
1971,4.53,Tm2O3
1973,0.39,K1.46Sn3.09Bi7.45Se15
1975,0.45,NaBa2Cu3S5
1977,1.8,RuS2
1978,1.89,KEuAsS4
1979,0.56,Pb0.61Ge0.39Te
1981,0.2,Cu3YbSe3
1982,0.57,Pb0.96TeTl0.04
1984,1.86,Li2FeSnS4
1986,1.83,PbGa2Se4
1988,5.17,Ba2B6O11
1989,1.51,As2B12
1990,2.22,TlAsS2
1993,1.9,SeS
1994,0.42,Pb0.99TeGa0.01
1995,1.09,BaRh2Ge4Se6
1996,1.6,CsGeI3
1998,0.45,Rb1.45Pb3.1Sb7.45Se15
2000,4.05,MgSiN2
2001,0.5,CoSb3
2002,3.6,MgTe
2003,2.27,Ba2InDySe5
2004,2.41,Ba4AgInSe6
2007,0.15,PdPSe
2009,3.83,BiFSeO3
2010,8.5,KCl
2011,0.16,Pb0.9Sn0.1Te
2013,3.28,Ag2ZnSiS4
2015,0.25,Bi2Te3
2019,1.81,K8Zr6Se30
2023,3.58,LaVI5O16
2024,0.9,KBiS2
2027,1.4,CdSb2Se3Br2
2028,0.7,La2O2FeSe2
2029,0.23,BaZn2As2
2031,1.12,YbSb2S4
2034,5.13,AgCl
2036,0.82,TlSbSe2
2038,1.98,Th2GeSe2
2039,1.6,Rb2Cu2Sb2S5
2041,0.13,Ba1.88Ta15O32
2042,0.3,Cs6Na2Zn4Ge42
2044,4.99,Li4.5Ga0.5TeO6
2045,1.73,KGaSnSe4
2047,1.07,Cu0.95In1.05Se2.05
2048,1.08,Cu2Te
2051,0.08,Hg0.8Zn0.2Te
2053,2.3,Zn0.3S0.3Ga0.7P0.7
2054,1.1,TeI4
2055,4.64,KSbS2O8
2056,2.4,CdS0.99Se0.01
2058,1.37,Ba2InNdTe5
2059,2.27,Ba2GaSmSe5
2060,4.53,ZnI2
2061,2.14,K2CuNbSe4
2062,1.5,InBi2S4Br
2063,2.6,Ga0.01P0.01Zn0.99Se0.99
2064,0.9,TiS3
2066,1.85,Hg2I2Te2
2068,1.6,Ba3Ta2Se9
2070,1.92,Cs2MgSn3Se8
2071,1.93,Ce10OSe14
2072,2.08,K2P2Se6
2073,0.54,EuSb4Te7
2074,2.04,CsAgSb4S7
2077,1.4,Ca3Sb2
2079,4.67,Na8CsB21O36
2080,2.2,Cu2P2S6
2084,0.55,ZrNiSb
2086,0.75,PtS2
2087,2.52,CeFMoO4
2089,1.5,Rh0.67S2
2090,2.62,Nd4Ge3S12
2091,1.27,GdB66
2093,1.47,CuNb3O8
2095,0.13,Pb0.92Sn0.08Te
2096,2.15,Cs2HgI2Cl2
2099,1.13,Ge0.891Si0.109
2100,2.51,Ba2GaSbSe5
2101,1.76,La4InSbSe9
2102,2.55,AgAlSe2
2106,0.86,Ge0.8Si0.2
2109,1.07,Ga0.8In0.2As
2111,2.12,TlCu3Lu2Se5
2113,11.7,LiF
2114,1.59,Cu0.99Ga1.01Se2.01
2115,1.5,Gd3.04Sc0.96S6
2116,0.3,Pb0.999TeGa0.001
2119,4.19,Ba2ScTaO6
2120,0.4,ZnSnSb2
2121,1.2,La2MnNiO6
2125,1.87,Li2ZnSnSe4
2130,4.84,RbH3Se2O6
2131,0.04,Pb0.83Sn0.17Se
2134,1.35,Ba2InErTe5
2138,0.72,Ge0.92Si0.08
2139,1.04,Ge0.93Si0.07
2140,1.66,Er2Se3
2141,3.3,Bi2I4O13
2142,2.06,NaGe3P3
2143,1.71,K2ZnSn2Se6
2144,0.1,PtSe2
2146,1.39,Cu2ZnSnTe4
2147,2.9,AlVTe2O8
2148,0.8,PtP2
2150,1.42,Bi3In4S10
2154,2.23,SnGeS3
2155,2.05,CaSm2S4
2156,1.4,K8Al8Si38
2157,1.56,BiSI
2158,1.37,Ce2YbCuS5
2159,2.59,Cu2O
2160,3.82,PbCl2
2162,6.89,BaClBF4
2163,0.95,Sn2S
2165,0.48,Pb0.995TeTl0.005
2166,0.7,GaAs0.99Sb0.01
2167,3.5,Cs2Te
2168,0.37,Th2Se5
2169,0.4,Fe2TiSi
2171,2.4,PbGeS3
2172,1.0,Na2KSb
2173,1.75,Mn2.04Gd1.47In0.49S5
2174,2.2,KAg2SbS4
2177,2.19,Cs2CuNbSe4
2181,1.36,La3CuGaSe7
2182,1.2,Cu2CdGeSe4
2183,3.1,Ba8Al10B12O41
2184,3.2,Bi12SiO20
2185,4.15,Ga2Te3O9
2187,0.12,Pb0.95Sn0.05Se
2189,2.68,KInSe2
2191,2.4,BiZn2VO6
2192,0.55,Hg0.3Cd0.7Se
2194,1.76,KFe2BiO5
2196,4.76,Cs2Cd3B16O28
2199,2.9,HfS2
2200,2.3,Fe4I3O24H15
2201,1.81,Cu0.35Ga1.65Se2.65
2203,1.8,K2AgSnSe4
2205,0.8,SmB66
2210,2.8,CsSbS2
2213,3.63,Li6Al2Te8O22
2214,2.62,Rb3Bi2Br9
2216,1.89,Pr10OSe14
2221,3.4,BaTe
2222,4.42,Pb2B3O7.5H2
2223,0.34,YbSb2Te4
2224,4.3,Cs2Zn3Se4O12
2225,3.2,CeScO3
2231,1.47,Tl2TeI6
2232,2.2,AlB12
2233,1.75,Zn0.9Hg0.1Se
2238,0.7,Rh0.67Se2
2239,1.09,Ge0.001Si0.999
2240,0.85,Ga0.95Sb0.95Zn0.05Te0.05
2241,4.75,LiPbB9O15
2242,3.63,La2V2IO9
2244,1.5,Sn2SbS2I3
2246,6.53,Ba2B6O9(OH)4
2248,1.57,Nd4InSbSe9
2249,5.0,Sm2O3
2252,1.8,YbTe
2253,1.76,RbZn4In5Se12
2255,4.61,Ga2Se2O7
2256,0.35,DyTe1.7
2261,1.35,InSb2Se4Br
2263,0.53,Cu2GeS3
2264,2.13,Sm4InSbS9
2265,1.95,Cs4Pb4Ge5S16
2266,2.79,HgGa2S4
2268,2.47,CsSmCdSe3
2269,9.92,CaF2
2272,2.96,RbMoPO6
2273,1.4,RuPS
2278,4.75,SrSeO4
2280,0.67,TlCr5Se8
2281,2.3,TlInGeS4
2282,1.75,La3Sb0.33SiSe7
2284,2.17,K2Cu2ThS4
2285,3.3,K2Gd2Ti3O10
2286,1.1,Hg0.8Cd0.2Se
2290,1.2,CuIn3S5
2295,0.71,TlCr5SSe7
2297,0.9,Sn2BiS2I3
2298,1.19,Cu0.35In1.65Se2.65
2299,2.91,Ba4Ge3S9Cl2
2303,0.64,NiS2
2304,2.15,Na8Eu2Ge4S12
2305,2.55,CaGd2S4
2306,0.5,Ho2S3
2307,2.49,K3Cu3Th2S7
2310,1.2,MoTe2
2316,0.43,Ir2Sn3Se3
2317,3.0,Zn0.5Cd0.5Se
2318,1.26,CuZr1.86S4
2321,1.56,BaHgSe2
2322,2.54,La3GaGe0.5S7
2323,4.85,CeF3
2324,0.14,Cu3GdSe3
2325,0.64,Ce2O2FeSe2
2326,2.58,Dy4GaSbS9
2328,0.7,Ru2Si3
2329,2.13,CdP2
2330,0.68,AgIn3Te5
2332,2.75,InP2S4
2334,4.3,PbSeO4
2336,0.97,Ba3SnSb2Se8
2337,2.05,LiAlB14
2338,0.5,Ga0.2In0.8As
2341,4.1,LaB6
2342,3.6,NaAlGeS4
2344,2.02,Ag2NbP2S8
2345,4.4,LaGaO3
2346,1.6,Na0.5Pb1.75GeSe4
2352,2.82,Ba4CuGa5S12
2353,2.58,CsCdBO3
2354,2.15,Ga0.3P0.3Zn0.7Se0.7
2355,0.52,SmSnTe2
2356,3.5,ThO2
2358,1.2,RuAsS
2360,1.11,CeIn3S6
2362,0.72,AgTlSe2
2365,0.85,CuCd2InTe4
2366,1.1,GeAs2
2372,4.42,SrSe
2373,0.65,PdP2
2374,2.16,Ba4Ga4SnSe12
2375,2.47,Na2GeIn2Se6
2376,2.47,Ba2In2S5
2377,2.0,BaCuSbS3
2378,3.25,Na2ZnGe2S6
2382,1.35,K3Cr2P3S12
2384,3.82,YClMoO4
2385,0.12,ReSi2
2387,3.06,Ag2MoI4O14
2392,0.3,In0.99As0.99Ga0.01P0.01
2393,1.09,SmP
2396,3.07,Zn3P2S8
2398,1.67,Ga0.58As0.58Zn0.42Se0.42
2402,2.2,Na2Ga2SnS6
2403,3.52,Fe2P3B1O12
2404,2.3,ReO3
2405,1.6,Pb2BiS2I3
2406,2.75,Li3AlP2
2407,2.34,Cs2Sn3Sb2S10
2408,3.03,TlHg6S4Br5
2409,1.0,Rb3Sb
2410,1.05,Ce2YbCuSe5
2411,2.0,La3CuGeSe7
2412,3.6,RbYTe2O6
2414,4.37,LiIO3
2415,2.21,CsCd4Ga5Se12
2416,1.75,In0.5P0.5Ga0.5As0.5
2418,0.85,Cd6P7
2421,2.1,HgS
2423,1.85,Cs5BiP4Se12
2424,4.3,CdIO3Cl
2425,0.31,Eu4Te7
2426,0.76,V3As2O9
2427,1.13,GdIn3S6
2428,1.4,In0.8P0.8Ga0.2As0.2
2429,2.61,Li8GeN4
2430,3.65,NaNbSe2O7
2437,3.44,EuVO4
2438,2.41,CsRbP2Se8
2439,3.27,Na2In2SiS6
2440,5.5,NaScSe2O6
2444,3.44,Ba6Al4B14O33
2445,2.7,Mg3B50C8
2447,2.3,BaCdSnS4
2450,3.2,Zn0.75Cd0.25Se
2451,6.53,Li4Rb3B7O14
2452,0.93,AgInTe2
2453,0.74,AsTe
2454,1.67,Pb2O3
2455,1.82,K10Sn3P8Se24
2456,1.41,Sm2ZrSe5
2457,2.51,Ba5Ga2Se8
2458,3.5,Ce15B8N25
2459,2.25,In0.1As0.1Ga0.9P0.9
2460,2.99,Sn0.5GaZn3.5O6
2462,1.34,CuIn5S8
2463,2.81,BaGa2GeSe6
2464,2.42,Ga0.25Al0.75As
2465,1.38,Cs2Cu3DyTe4
